date,city,aqi,pm25,ozone,no2,co
2020-01-01,New York,75,17.8,0.062,0.031,0.47
2020-01-02,New York,88,13.9,0.081,0.056,0.6
2020-01-03,New York,83,9.2,0.073,0.045,0.59
2020-01-04,New York,70,9.8,0.053,0.046,0.48
2020-01-05,New York,75,9.9,0.047,0.042,0.49
2020-01-06,New York,79,9.7,0.067,0.042,0.58
2020-01-07,New York,85,23.3,0.062,0.044,0.51
2020-01-08,New York,78,15.9,0.063,0.026,0.65
2020-01-09,New York,69,16.4,0.045,0.022,0.51
2020-01-10,New York,81,17.4,0.071,0.038,0.64
2020-01-11,New York,97,23.7,0.049,0.048,0.68
2020-01-12,New York,82,20.4,0.058,0.056,0.74
2020-01-13,New York,70,7.7,0.054,0.024,0.54
2020-01-14,New York,96,28.1,0.084,0.034,0.66
2020-01-15,New York,79,19.9,0.044,0.049,0.76
2020-01-16,New York,74,18.8,0.063,0.022,0.44
2020-01-17,New York,74,16.5,0.063,0.047,0.41
2020-01-18,New York,73,18.8,0.045,0.048,0.51
2020-01-19,New York,112,17.1,0.06,0.05,0.96
2020-01-20,New York,73,16.3,0.063,0.032,0.48
2020-01-21,New York,72,16.0,0.039,0.026,0.71
2020-01-22,New York,59,9.4,0.057,0.021,0.4
2020-01-23,New York,65,8.4,0.059,0.035,0.33
2020-01-24,New York,94,15.6,0.085,0.03,0.9
2020-01-25,New York,92,12.3,0.082,0.036,0.83
2020-01-26,New York,96,28.4,0.05,0.044,0.67
2020-01-27,New York,86,19.4,0.077,0.047,0.52
2020-01-28,New York,84,17.7,0.059,0.053,0.51
2020-01-29,New York,75,21.6,0.064,0.027,0.58
2020-01-30,New York,80,19.6,0.069,0.047,0.55
2020-01-31,New York,72,19.6,0.048,0.031,0.63
2020-02-01,New York,96,25.9,0.064,0.059,0.66
2020-02-02,New York,96,25.9,0.088,0.054,0.76
2020-02-03,New York,97,19.7,0.093,0.062,0.54
2020-02-04,New York,71,9.9,0.058,0.035,0.44
2020-02-05,New York,96,11.9,0.051,0.029,0.94
2020-02-06,New York,85,21.3,0.063,0.027,0.84
2020-02-07,New York,83,13.8,0.079,0.034,0.52
2020-02-08,New York,96,22.6,0.088,0.043,0.77
2020-02-09,New York,102,26.0,0.059,0.037,0.61
2020-02-10,New York,92,17.8,0.046,0.033,0.6
2020-02-11,New York,90,10.6,0.045,0.03,0.6
2020-02-12,New York,101,15.2,0.072,0.069,0.99
2020-02-13,New York,114,14.7,0.096,0.043,0.84
2020-02-14,New York,99,20.1,0.054,0.069,0.9
2020-02-15,New York,100,15.7,0.068,0.06,0.66
2020-02-16,New York,90,22.0,0.088,0.046,0.52
2020-02-17,New York,87,22.8,0.08,0.059,0.48
2020-02-18,New York,89,24.6,0.081,0.041,0.71
2020-02-19,New York,82,17.0,0.069,0.056,0.67
2020-02-20,New York,85,8.9,0.06,0.029,0.73
2020-02-21,New York,94,10.7,0.094,0.054,0.6
2020-02-22,New York,75,15.7,0.074,0.024,0.7
2020-02-23,New York,95,24.9,0.073,0.045,0.77
2020-02-24,New York,108,21.5,0.105,0.039,0.87
2020-02-25,New York,101,15.9,0.084,0.046,0.89
2020-02-26,New York,107,21.9,0.105,0.045,0.92
2020-02-27,New York,96,23.8,0.073,0.046,0.71
2020-02-28,New York,101,26.6,0.088,0.044,0.69
2020-02-29,New York,111,15.4,0.096,0.05,1.03
2020-03-01,New York,105,11.5,0.093,0.047,0.92
2020-03-02,New York,86,24.0,0.057,0.058,0.57
2020-03-03,New York,122,13.7,0.114,0.043,1.03
2020-03-04,New York,81,17.4,0.065,0.033,0.61
2020-03-05,New York,113,11.4,0.077,0.051,1.06
2020-03-06,New York,95,14.7,0.059,0.049,0.5
2020-03-07,New York,108,15.4,0.097,0.047,0.61
