date,city,total_consumption,residential,commercial,industrial,cooling_specific
2020-01-01,New York,6670,2993,2628,824,1079
2020-01-02,New York,7155,2497,2578,1504,1420
2020-01-03,New York,7081,3067,2082,1008,1306
2020-01-04,New York,8315,3043,2122,1035,1315
2020-01-05,New York,7484,3156,1764,1697,936
2020-01-06,New York,7282,2593,1877,1097,982
2020-01-07,New York,6986,3300,2328,1988,852
2020-01-08,New York,7006,2552,2139,745,1346
2020-01-09,New York,5803,1940,1418,1711,929
2020-01-10,New York,7417,2678,2675,1868,1200
2020-01-11,New York,7345,3446,1884,1551,1449
2020-01-12,New York,7182,2218,2306,1474,1101
2020-01-13,New York,7772,3117,2528,2173,1162
2020-01-14,New York,7104,3130,1750,1154,872
2020-01-15,New York,6873,2260,1428,703,1260
2020-01-16,New York,7174,3470,2163,1873,781
2020-01-17,New York,5807,2109,1665,673,779
2020-01-18,New York,6593,2907,1830,1760,859
2020-01-19,New York,7349,2587,1827,2138,1120
2020-01-20,New York,6604,2456,2177,1710,974
2020-01-21,New York,6010,2047,1474,1775,623
2020-01-22,New York,6930,2677,1919,2050,975
2020-01-23,New York,8018,3436,2183,1215,1096
2020-01-24,New York,5319,2216,2127,1396,854
2020-01-25,New York,6582,2445,1521,1466,754
2020-01-26,New York,7873,2551,2182,2316,1193
2020-01-27,New York,5333,1831,1117,689,914
2020-01-28,New York,7733,3434,2212,912,1249
2020-01-29,New York,7474,3040,2233,1949,1298
2020-01-30,New York,9424,4420,2381,2742,1298
2020-01-31,New York,6959,2175,1397,1120,913
2020-02-01,New York,5689,1720,1642,1447,1004
2020-02-02,New York,5394,2396,1563,1210,773
2020-02-03,New York,8853,3714,2785,2114,1077
2020-02-04,New York,7313,3579,1975,1972,991
2020-02-05,New York,8155,3657,2495,1941,1337
2020-02-06,New York,7398,2961,2508,1880,996
2020-02-07,New York,8810,2986,3060,2547,1496
2020-02-08,New York,7794,2485,1635,1064,1263
2020-02-09,New York,5158,1805,1133,581,960
2020-02-10,New York,6026,2061,1398,725,691
2020-02-11,New York,6800,2162,2578,1238,690
2020-02-12,New York,6002,2387,1665,1178,1123
2020-02-13,New York,8235,2898,2763,1122,937
2020-02-14,New York,4906,1625,1830,629,847
2020-02-15,New York,7147,2652,2783,1799,1231
2020-02-16,New York,6812,3225,1665,1526,1345
2020-02-17,New York,5596,2287,2008,929,853
2020-02-18,New York,6898,3378,2223,1855,1258
2020-02-19,New York,5576,2754,1627,1430,744
2020-02-20,New York,5645,1791,1644,1573,805
2020-02-21,New York,4724,1537,988,496,804
2020-02-22,New York,6970,3095,1556,2083,1152
2020-02-23,New York,7615,3471,2060,799,1269
2020-02-24,New York,8537,3307,2583,1774,1321
2020-02-25,New York,6512,3158,1868,1711,1206
2020-02-26,New York,6600,2540,2223,775,802
2020-02-27,New York,5650,1920,1853,1268,1038
2020-02-28,New York,6328,2107,1700,1551,1075
2020-02-29,New York,7458,2358,1932,1750,855
2020-03-01,New York,7909,3535,2948,807,999
2020-03-02,New York,8174,3119,1748,818,1105
2020-03-03,New York,8125,2669,3094,2418,1216
2020-03-04,New York,5401,2495,1514,834,725
2020-03-05,New York,8180,3202,2138,1131,1551
2020-03-06,New York,6677,2754,1844,1139,926
2020-03-07,New York,5530,2505,2200,1283,696
2020-03-08,New York,8045,3468,2276,2124,1240
2020-03-09,New York,6098,3008,1849,1500,841
2020-03-10,New York,6571,2423,2178,976,819
2020-03-11,New York,7349,3419,1862,1454,991
2020-03-12,New York,6706,2457,1545,987,1074
2020-03-13,New York,7619,3677,1624,1656,838
2020-03-14,New York,8096,3966,2610,2303,883
2020-03-15,New York,6935,2407,1443,1208,787
2020-03-16,New York,6694,2761,2163,728,1287
2020-03-17,New York,8315,2679,2383,1398,1613
2020-03-18,New York,8607,3984,1872,2090,892
2020-03-19,New York,7680,2912,2796,1452,821
2020-03-20,New York,6691,2370,2301,1317,721
2020-03-21,New York,4635,1737,1827,859,674
2020-03-22,New York,8143,2750,2368,1367,1018
2020-03-23,New York,7508,3047,1525,1280,769
2020-03-24,New York,7071,2270,1577,725,1393
2020-03-25,New York,6173,1888,2006,799,625
2020-03-26,New York,6070,2875,2157,1367,1083
2020-03-27,New York,8494,3132,2069,1711,1614
2020-03-28,New York,7655,3433,2399,1854,996
2020-03-29,New York,7074,3002,1438,1514,773
2020-03-30,New York,7034,2415,2115,1873,867
2020-03-31,New York,7343,3557,2312,1086,1203
2020-04-01,New York,7298,3414,2581,878,949
2020-04-02,New York,8274,3550,2934,1531,1325
2020-04-03,New York,7325,2865,2063,1286,1284
2020-04-04,New York,7435,3233,2546,900,1291
2020-04-05,New York,7586,3252,2393,1152,1350
2020-04-06,New York,5446,2017,1304,1188,654
2020-04-07,New York,7966,2633,2487,2365,1316
2020-04-08,New York,8708,3816,2243,2300,1582
2020-04-09,New York,7313,3577,2303,829,1123
2020-04-10,New York,8685,4314,2041,2443,1192
2020-04-11,New York,8370,2622,3074,1594,1265
2020-04-12,New York,7601,3392,2881,784,1042
2020-04-13,New York,6588,2586,1916,948,1162
2020-04-14,New York,6790,2570,1743,1983,840
2020-04-15,New York,6511,2792,1377,1797,791
2020-04-16,New York,9015,3253,2261,1499,1623
2020-04-17,New York,7651,2871,2301,2239,1450
2020-04-18,New York,6146,2231,2119,616,874
2020-04-19,New York,5883,1892,2174,1091,941
2020-04-20,New York,6258,3044,1697,902,1042
2020-04-21,New York,6335,3110,2504,1467,878
2020-04-22,New York,5309,2469,1709,689,764
2020-04-23,New York,7238,3316,1700,1126,871
2020-04-24,New York,6034,2746,1296,1719,1030
2020-04-25,New York,4911,2375,1333,1114,893
2020-04-26,New York,6643,2364,2446,1485,733
2020-04-27,New York,5858,2864,1860,1268,725
2020-04-28,New York,7129,2489,1573,926,855
2020-04-29,New York,5552,2412,1204,844,926
2020-04-30,New York,8626,2886,2929,1696,1016
2020-05-01,New York,6113,2259,2065,1444,797
2020-05-02,New York,5293,2284,1780,1359,888
2020-05-03,New York,5048,1681,1938,1153,572
2020-05-04,New York,8008,3409,2521,1048,1162
2020-05-05,New York,4926,1907,1099,935,935
2020-05-06,New York,7798,3113,1661,1387,1409
2020-05-07,New York,7497,2275,2353,1203,1231
2020-05-08,New York,6153,2162,1675,1317,757
2020-05-09,New York,7753,3832,2609,1033,865
2020-05-10,New York,7069,2430,1860,773,1342
2020-05-11,New York,6728,3120,1815,1930,1036
2020-05-12,New York,5330,2554,1090,1313,660
2020-05-13,New York,6544,3250,2566,1406,840
2020-05-14,New York,5715,1791,1887,1162,970
2020-05-15,New York,7151,2897,2607,1882,1045
2020-05-16,New York,7825,3342,2274,1401,1171
2020-05-17,New York,6358,2991,1704,1154,896
2020-05-18,New York,8386,3104,2965,1852,1373
2020-05-19,New York,7078,2730,2130,1694,1287
2020-05-20,New York,6945,3465,1907,737,1305
2020-05-21,New York,8512,2925,3189,2316,1031
2020-05-22,New York,7404,2919,2638,1221,1458
2020-05-23,New York,6297,2727,1723,1117,901
2020-05-24,New York,6759,3338,1544,1800,851
2020-05-25,New York,6562,2217,1317,1679,692
2020-05-26,New York,7142,3013,2177,1739,1141
2020-05-27,New York,8074,3150,2400,1480,1050
2020-05-28,New York,7383,3393,2782,1960,1432
2020-05-29,New York,6982,2744,2787,1753,1356
2020-05-30,New York,6599,3104,1906,739,1145
2020-05-31,New York,7264,3559,2677,831,834
2020-06-01,New York,7026,3430,1585,1306,1150
2020-06-02,New York,5286,1906,1826,570,570
2020-06-03,New York,6472,2682,2024,1472,810
2020-06-04,New York,8022,2449,3189,1671,1177
2020-06-05,New York,6364,2439,1825,1484,967
2020-06-06,New York,7367,2565,2444,1208,832
2020-06-07,New York,9643,4382,3441,1366,1291
2020-06-08,New York,8579,2632,2402,2171,1165
2020-06-09,New York,7398,3012,1558,1890,1326
2020-06-10,New York,8580,3814,2511,2420,1018
2020-06-11,New York,7314,3527,1925,1456,734
2020-06-12,New York,5894,2274,2346,1076,599
2020-06-13,New York,6134,3020,1394,694,780
2020-06-14,New York,7450,2444,2783,894,1446
2020-06-15,New York,6840,3203,1529,919,897
2020-06-16,New York,6378,2292,1376,1205,700
2020-06-17,New York,6523,2488,2383,1898,1233
2020-06-18,New York,7881,3862,2401,2332,844
2020-06-19,New York,6858,3184,1587,1776,811
2020-06-20,New York,7203,2541,2269,1143,1068
2020-06-21,New York,6202,2002,2024,791,681
2020-06-22,New York,6162,2755,1253,1748,1119
2020-06-23,New York,7509,3349,1730,1092,1417
2020-06-24,New York,6438,2158,2468,1186,1226
2020-06-25,New York,7178,2983,1524,1541,837
2020-06-26,New York,6644,2500,2613,911,1247
2020-06-27,New York,7942,3411,2480,2116,1042
2020-06-28,New York,7400,2735,1603,818,845
2020-06-29,New York,6178,2443,2123,801,928
2020-06-30,New York,5266,2584,1140,901,663
2020-07-01,New York,7473,2763,2293,2206,1434
2020-07-02,New York,5802,2602,1775,1063,888
2020-07-03,New York,7453,3361,2757,1637,1224
2020-07-04,New York,6959,2973,2304,1807,1031
2020-07-05,New York,5177,2587,1660,1495,868
2020-07-06,New York,4589,1920,1302,1277,912
2020-07-07,New York,5907,2793,1348,1247,851
2020-07-08,New York,6406,3052,1895,1775,748
2020-07-09,New York,7380,2538,1927,2111,1382
2020-07-10,New York,7508,2873,1602,864,1086
2020-07-11,New York,8431,2618,2978,1014,868
2020-07-12,New York,7040,2251,2648,1402,1363
2020-07-13,New York,5715,1795,1922,593,765
2020-07-14,New York,6450,1977,1700,1257,964
2020-07-15,New York,6634,2954,2146,1879,988
2020-07-16,New York,6554,2760,1813,1502,922
2020-07-17,New York,8388,4090,1777,2234,1163
2020-07-18,New York,4472,1787,1113,899,514
2020-07-19,New York,6953,2129,1925,2037,1388
2020-07-20,New York,7421,3664,2580,817,1280
2020-07-21,New York,7270,3074,1763,997,1107
2020-07-22,New York,8544,3785,2356,2369,1213
2020-07-23,New York,7046,2201,1617,1176,757
2020-07-24,New York,5608,2673,1941,1627,890
2020-07-25,New York,6762,2352,1914,951,960
2020-07-26,New York,6459,2414,2547,1025,749
2020-07-27,New York,5821,1956,1372,1330,897
2020-07-28,New York,6717,2773,2316,1940,1199
2020-07-29,New York,8836,3139,2268,1481,1058
2020-07-30,New York,5901,2888,1681,1248,993
2020-07-31,New York,7141,2429,2509,1754,886
2020-08-01,New York,7726,3123,2340,1860,989
2020-08-02,New York,6010,2051,2012,1425,1005
2020-08-03,New York,5357,2603,1619,1596,563
2020-08-04,New York,7862,2631,2757,1417,1475
2020-08-05,New York,5630,2189,1276,619,1010
2020-08-06,New York,6318,3028,2408,1365,753
2020-08-07,New York,8252,3069,1658,1152,1166
2020-08-08,New York,7643,2998,2281,1528,862
2020-08-09,New York,6371,2569,1320,880,1130
2020-08-10,New York,7122,2618,2462,1224,905
2020-08-11,New York,6393,2956,2381,972,867
2020-08-12,New York,5773,2526,1697,600,929
2020-08-13,New York,6999,3111,1747,1441,857
2020-08-14,New York,6284,1913,1558,1372,1103
2020-08-15,New York,7059,2252,1756,1771,789
2020-08-16,New York,7696,3292,2588,2260,1453
2020-08-17,New York,5952,2413,2053,1683,1164
2020-08-18,New York,8346,2884,2146,2403,978
2020-08-19,New York,8673,2725,2137,1357,1269
2020-08-20,New York,7651,3396,2197,981,1140
2020-08-21,New York,6789,2141,2535,938,1295
2020-08-22,New York,6812,2097,2453,1678,709
2020-08-23,New York,6587,3013,2382,1588,724
2020-08-24,New York,6935,2262,2162,729,792
2020-08-25,New York,9136,4195,2635,1347,1417
2020-08-26,New York,6769,3021,1649,1255,1344
2020-08-27,New York,8943,3731,3047,1523,1216
2020-08-28,New York,7188,3399,1540,1763,942
2020-08-29,New York,7260,2870,2026,2030,1042
2020-08-30,New York,6303,2079,1661,1164,882
2020-08-31,New York,4728,2002,1277,595,943
2020-09-01,New York,6091,2430,1561,1073,1114
2020-09-02,New York,6675,3076,2184,1859,805
2020-09-03,New York,6805,3092,1470,895,807
2020-09-04,New York,7039,2895,1643,1558,1057
