date,city,heat_related_illnesses,respiratory_issues,mental_health_reports
2020-01-01,New York,51,104,46
2020-01-02,New York,25,44,13
2020-01-03,New York,27,44,16
2020-01-04,New York,25,55,36
2020-01-05,New York,39,93,45
2020-01-06,New York,18,29,15
2020-01-07,New York,22,37,23
2020-01-08,New York,23,50,25
2020-01-09,New York,23,56,30
2020-01-10,New York,26,64,27
2020-01-11,New York,32,79,19
2020-01-12,New York,25,38,22
2020-01-13,New York,32,59,31
2020-01-14,New York,37,56,33
2020-01-15,New York,33,65,28
2020-01-16,New York,27,63,18
2020-01-17,New York,24,56,23
2020-01-18,New York,26,53,33
2020-01-19,New York,41,80,50
2020-01-20,New York,34,64,32
2020-01-21,New York,47,90,58
2020-01-22,New York,39,58,27
2020-01-23,New York,47,108,30
2020-01-24,New York,50,83,48
2020-01-25,New York,47,110,61
2020-01-26,New York,46,114,33
2020-01-27,New York,42,75,43
2020-01-28,New York,44,73,47
2020-01-29,New York,36,66,24
2020-01-30,New York,57,112,85
2020-01-31,New York,61,98,71
2020-02-01,New York,28,66,18
2020-02-02,New York,38,57,23
2020-02-03,New York,37,79,26
2020-02-04,New York,35,72,28
2020-02-05,New York,32,72,20
2020-02-06,New York,39,82,41
2020-02-07,New York,40,99,21
2020-02-08,New York,33,68,42
2020-02-09,New York,55,122,29
2020-02-10,New York,38,78,44
2020-02-11,New York,32,54,46
2020-02-12,New York,26,43,19
2020-02-13,New York,52,117,59
2020-02-14,New York,31,53,37
2020-02-15,New York,48,72,67
2020-02-16,New York,45,101,27
2020-02-17,New York,51,114,69
2020-02-18,New York,60,97,57
2020-02-19,New York,46,107,55
2020-02-20,New York,41,92,40
2020-02-21,New York,36,65,26
2020-02-22,New York,53,119,28
2020-02-23,New York,54,100,74
2020-02-24,New York,36,59,24
2020-02-25,New York,48,108,33
2020-02-26,New York,33,74,48
2020-02-27,New York,54,127,59
2020-02-28,New York,73,176,89
2020-02-29,New York,42,89,28
2020-03-01,New York,42,82,43
2020-03-02,New York,51,102,34
2020-03-03,New York,36,84,45
2020-03-04,New York,33,62,27
2020-03-05,New York,29,70,20
2020-03-06,New York,54,116,31
2020-03-07,New York,55,104,71
2020-03-08,New York,50,110,58
2020-03-09,New York,58,90,75
2020-03-10,New York,63,109,61
2020-03-11,New York,42,71,51
2020-03-12,New York,43,95,62
2020-03-13,New York,55,92,36
2020-03-14,New York,42,69,22
2020-03-15,New York,56,91,78
2020-03-16,New York,58,131,81
2020-03-17,New York,55,105,72
2020-03-18,New York,49,77,27
2020-03-19,New York,54,118,71
2020-03-20,New York,44,77,48
2020-03-21,New York,49,92,38
2020-03-22,New York,44,90,25
2020-03-23,New York,45,67,49
2020-03-24,New York,45,110,48
2020-03-25,New York,52,84,53
2020-03-26,New York,58,109,40
2020-03-27,New York,57,121,63
2020-03-28,New York,51,92,33
2020-03-29,New York,58,97,47
2020-03-30,New York,53,112,52
2020-03-31,New York,41,81,34
2020-04-01,New York,45,82,46
2020-04-02,New York,53,119,65
2020-04-03,New York,40,86,44
2020-04-04,New York,36,88,40
2020-04-05,New York,44,82,46
